DATA REPORT,,,,,
2026/02/23,19:56:14,31.93,,,
2026/02/23,19:56:19,31.92,,,
2026/02/23,19:56:24,31.90,,,
2026/02/23,19:56:29,31.88,,,
2026/02/23,19:56:34,31.98,,,
2026/02/23,19:56:39,31.92,,,
2026/02/23,19:56:44,31.84,,,
2026/02/23,19:56:49,31.92,,,
2026/02/23,19:56:54,31.94,,,
2026/02/23,19:56:59,31.88,,,
2026/02/23,19:57:04,31.78,,,
2026/02/23,19:57:09,31.86,,,
2026/02/23,19:57:14,32.14,,,
2026/02/23,19:57:19,32.32,,,
2026/02/23,19:57:24,32.42,,,
2026/02/23,19:57:29,32.38,,,
2026/02/23,19:57:34,32.35,,,
2026/02/23,19:57:39,32.33,,,
2026/02/23,19:57:44,32.39,,,
2026/02/23,19:57:49,32.57,,,
2026/02/23,19:57:54,32.40,,,
2026/02/23,19:57:59,32.41,,,
2026/02/23,19:58:04,32.56,,,
2026/02/23,19:58:09,32.65,,,
2026/02/23,19:58:14,32.76,,,
2026/02/23,19:58:19,32.79,,,
2026/02/23,19:58:24,32.85,,,
2026/02/23,19:58:29,32.82,,,
2026/02/23,19:58:34,32.80,,,
2026/02/23,19:58:39,32.91,,,
2026/02/23,19:58:44,32.93,,,
2026/02/23,19:58:49,32.95,,,
2026/02/23,19:58:54,33.06,,,
2026/02/23,19:58:59,33.15,,,
2026/02/23,19:59:04,33.12,,,
2026/02/23,19:59:09,32.97,,,
2026/02/23,19:59:14,32.78,,,
2026/02/23,19:59:19,32.76,,,
2026/02/23,19:59:24,32.76,,,
2026/02/23,19:59:29,32.78,,,
2026/02/23,19:59:34,32.76,,,
2026/02/23,19:59:39,32.52,,,
2026/02/23,19:59:44,32.50,,,
2026/02/23,19:59:49,32.46,,,
2026/02/23,19:59:54,32.32,,,
2026/02/23,19:59:59,32.22,,,
2026/02/23,20:00:04,32.52,,,
2026/02/23,20:00:09,32.58,,,
2026/02/23,20:00:14,32.59,,,
2026/02/23,20:00:19,32.62,,,
2026/02/23,20:00:24,32.60,,,
2026/02/23,20:00:29,32.49,,,
2026/02/23,20:00:34,32.47,,,
2026/02/23,20:00:39,32.49,,,
2026/02/23,20:00:44,32.55,,,
2026/02/23,20:00:49,32.33,,,
2026/02/23,20:00:54,32.37,,,
2026/02/23,20:00:59,32.40,,,
2026/02/23,20:01:04,32.43,,,
2026/02/23,20:01:09,32.42,,,
2026/02/23,20:01:14,32.34,,,
2026/02/23,20:01:19,32.37,,,
2026/02/23,20:01:24,32.47,,,
2026/02/23,20:01:29,32.50,,,
2026/02/23,20:01:34,32.47,,,
2026/02/23,20:01:39,32.13,,,
2026/02/23,20:01:44,32.09,,,
2026/02/23,20:01:49,32.12,,,
2026/02/23,20:01:54,32.10,,,
2026/02/23,20:01:59,32.08,,,
2026/02/23,20:02:04,31.96,,,
2026/02/23,20:02:09,31.98,,,
2026/02/23,20:02:14,32.11,,,
2026/02/23,20:02:19,32.15,,,
2026/02/23,20:02:24,32.13,,,
2026/02/23,20:02:29,32.37,,,
2026/02/23,20:02:34,32.39,,,
2026/02/23,20:02:39,32.36,,,
2026/02/23,20:02:44,32.28,,,
2026/02/23,20:02:49,32.04,,,
2026/02/23,20:02:54,32.00,,,
2026/02/23,20:02:59,31.97,,,
2026/02/23,20:03:04,31.67,,,
2026/02/23,20:03:09,31.74,,,
2026/02/23,20:03:14,31.76,,,
2026/02/23,20:03:19,31.84,,,
2026/02/23,20:03:24,31.91,,,
2026/02/23,20:03:29,31.91,,,
2026/02/23,20:03:34,32.00,,,
2026/02/23,20:03:39,32.02,,,
2026/02/23,20:03:44,32.03,,,
2026/02/23,20:03:49,32.08,,,
2026/02/23,20:03:54,32.09,,,
2026/02/23,20:03:59,32.02,,,
2026/02/23,20:04:04,31.89,,,
2026/02/23,20:04:09,31.75,,,
2026/02/23,20:04:14,31.66,,,
2026/02/23,20:04:19,31.59,,,
2026/02/23,20:04:24,31.49,,,
2026/02/23,20:04:29,31.42,,,
2026/02/23,20:04:34,31.51,,,
2026/02/23,20:04:39,31.60,,,
2026/02/23,20:04:44,31.62,,,
2026/02/23,20:04:49,31.53,,,
2026/02/23,20:04:54,31.39,,,
2026/02/23,20:04:59,31.31,,,
2026/02/23,20:05:04,31.28,,,
2026/02/23,20:05:09,31.24,,,
2026/02/23,20:05:14,31.22,,,
2026/02/23,20:05:19,31.28,,,
2026/02/23,20:05:24,31.34,,,
2026/02/23,20:05:29,31.42,,,
2026/02/23,20:05:34,31.48,,,
2026/02/23,20:05:39,31.50,,,
2026/02/23,20:05:44,31.52,,,
2026/02/23,20:05:49,31.49,,,
2026/02/23,20:05:54,31.47,,,
2026/02/23,20:05:59,31.42,,,
2026/02/23,20:06:04,31.30,,,
2026/02/23,20:06:09,31.30,,,
2026/02/23,20:06:14,31.29,,,
2026/02/23,20:06:19,31.27,,,
2026/02/23,20:06:24,31.25,,,
2026/02/23,20:06:29,31.20,,,
2026/02/23,20:06:34,31.20,,,
2026/02/23,20:06:39,31.18,,,
2026/02/23,20:06:44,31.02,,,
2026/02/23,20:06:49,30.90,,,
2026/02/23,20:06:54,30.90,,,
2026/02/23,20:06:59,30.92,,,
2026/02/23,20:07:04,31.10,,,
2026/02/23,20:07:09,31.03,,,
2026/02/23,20:07:14,30.86,,,
2026/02/23,20:07:19,30.86,,,
2026/02/23,20:07:24,31.03,,,
2026/02/23,20:07:29,30.97,,,
2026/02/23,20:07:34,30.90,,,
2026/02/23,20:07:39,30.91,,,
2026/02/23,20:07:44,30.90,,,
2026/02/23,20:07:49,30.88,,,
2026/02/23,20:07:54,30.95,,,
2026/02/23,20:07:59,30.94,,,
2026/02/23,20:08:04,30.91,,,
2026/02/23,20:08:09,30.79,,,
2026/02/23,20:08:14,30.72,,,
2026/02/23,20:08:19,30.78,,,
2026/02/23,20:08:24,30.73,,,
2026/02/23,20:08:29,30.70,,,
2026/02/23,20:08:34,30.57,,,
2026/02/23,20:08:39,30.56,,,
2026/02/23,20:08:44,30.45,,,
2026/02/23,20:08:49,30.44,,,
2026/02/23,20:08:54,30.42,,,
2026/02/23,20:08:59,30.42,,,
2026/02/23,20:09:04,30.39,,,
2026/02/23,20:09:09,30.29,,,
2026/02/23,20:09:14,30.20,,,
2026/02/23,20:09:19,30.17,,,
2026/02/23,20:09:24,30.12,,,
2026/02/23,20:09:29,30.06,,,
2026/02/23,20:09:34,29.99,,,
2026/02/23,20:09:39,29.98,,,
2026/02/23,20:09:44,30.08,,,
2026/02/23,20:09:49,30.05,,,
2026/02/23,20:09:54,30.04,,,
2026/02/23,20:09:59,30.04,,,
2026/02/23,20:10:04,30.03,,,
2026/02/23,20:10:09,30.05,,,
2026/02/23,20:10:14,30.07,,,
2026/02/23,20:10:19,29.96,,,
2026/02/23,20:10:24,30.00,,,
2026/02/23,20:10:29,30.02,,,
2026/02/23,20:10:34,30.00,,,
2026/02/23,20:10:39,29.98,,,
2026/02/23,20:10:44,30.06,,,
2026/02/23,20:10:49,30.16,,,
2026/02/23,20:10:54,30.15,,,
2026/02/23,20:10:59,30.13,,,
2026/02/23,20:11:04,30.11,,,
2026/02/23,20:11:09,30.02,,,
2026/02/23,20:11:14,30.08,,,
2026/02/23,20:11:19,29.97,,,
2026/02/23,20:11:24,29.87,,,
2026/02/23,20:11:29,29.84,,,
2026/02/23,20:11:34,29.66,,,
2026/02/23,20:11:39,29.66,,,
2026/02/23,20:11:44,29.68,,,
2026/02/23,20:11:49,29.58,,,
2026/02/23,20:11:54,29.52,,,
2026/02/23,20:11:59,29.38,,,
2026/02/23,20:12:04,29.39,,,
2026/02/23,20:12:09,29.42,,,
2026/02/23,20:12:14,29.44,,,
2026/02/23,20:12:19,29.51,,,
2026/02/23,20:12:24,29.50,,,
2026/02/23,20:12:29,29.48,,,
2026/02/23,20:12:34,29.46,,,
2026/02/23,20:12:39,29.35,,,
2026/02/23,20:12:44,29.30,,,
2026/02/23,20:12:49,29.28,,,
2026/02/23,20:12:54,29.31,,,
2026/02/23,20:12:59,29.45,,,
2026/02/23,20:13:04,29.48,,,
2026/02/23,20:13:09,29.47,,,
2026/02/23,20:13:14,29.49,,,
2026/02/23,20:13:19,29.44,,,
2026/02/23,20:13:24,29.31,,,
2026/02/23,20:13:29,29.13,,,
2026/02/23,20:13:34,29.13,,,
2026/02/23,20:13:39,29.05,,,
2026/02/23,20:13:44,29.04,,,
2026/02/23,20:13:49,29.03,,,
2026/02/23,20:13:54,28.98,,,
2026/02/23,20:13:59,28.95,,,
2026/02/23,20:14:04,28.86,,,
2026/02/23,20:14:09,28.87,,,
2026/02/23,20:14:14,28.89,,,
2026/02/23,20:14:19,28.87,,,
2026/02/23,20:14:24,28.85,,,
2026/02/23,20:14:29,28.83,,,
2026/02/23,20:14:34,28.76,,,
2026/02/23,20:14:39,28.68,,,
2026/02/23,20:14:44,28.79,,,
2026/02/23,20:14:49,28.88,,,
2026/02/23,20:14:54,28.88,,,
2026/02/23,20:14:59,28.86,,,
2026/02/23,20:15:04,28.85,,,
2026/02/23,20:15:09,28.78,,,
2026/02/23,20:15:14,28.60,,,
2026/02/23,20:15:19,28.61,,,
2026/02/23,20:15:24,28.65,,,
2026/02/23,20:15:29,28.68,,,
2026/02/23,20:15:34,28.67,,,
2026/02/23,20:15:39,28.61,,,
2026/02/23,20:15:44,28.58,,,
2026/02/23,20:15:49,28.57,,,
2026/02/23,20:15:54,28.58,,,
2026/02/23,20:15:59,28.47,,,
2026/02/23,20:16:04,28.46,,,
2026/02/23,20:16:09,28.40,,,
2026/02/23,20:16:14,28.38,,,
2026/02/23,20:16:19,28.39,,,
2026/02/23,20:16:24,28.41,,,
2026/02/23,20:16:29,28.40,,,
2026/02/23,20:16:34,28.39,,,
2026/02/23,20:16:39,28.37,,,
2026/02/23,20:16:44,28.35,,,
2026/02/23,20:16:49,28.33,,,
2026/02/23,20:16:54,28.31,,,
2026/02/23,20:16:59,28.37,,,
2026/02/23,20:17:04,28.42,,,
2026/02/23,20:17:09,28.41,,,
2026/02/23,20:17:14,28.39,,,
2026/02/23,20:17:19,28.36,,,
2026/02/23,20:17:24,28.28,,,
2026/02/23,20:17:29,28.27,,,
2026/02/23,20:17:34,28.29,,,
2026/02/23,20:17:39,28.11,,,
2026/02/23,20:17:44,28.08,,,
2026/02/23,20:17:49,28.11,,,
2026/02/23,20:17:54,28.12,,,
2026/02/23,20:17:59,28.10,,,
2026/02/23,20:18:04,28.07,,,
2026/02/23,20:18:09,28.02,,,
2026/02/23,20:18:14,28.01,,,
2026/02/23,20:18:19,28.03,,,
2026/02/23,20:18:24,27.93,,,
2026/02/23,20:18:29,27.92,,,
2026/02/23,20:18:34,27.89,,,
2026/02/23,20:18:39,27.79,,,
2026/02/23,20:18:44,27.84,,,
2026/02/23,20:18:49,27.84,,,
2026/02/23,20:18:54,27.85,,,
2026/02/23,20:18:59,27.86,,,
2026/02/23,20:19:04,27.86,,,
2026/02/23,20:19:09,27.88,,,
2026/02/23,20:19:14,27.89,,,
2026/02/23,20:19:19,27.87,,,
2026/02/23,20:19:24,27.81,,,
2026/02/23,20:19:29,27.77,,,
2026/02/23,20:19:34,27.76,,,
2026/02/23,20:19:39,27.78,,,
2026/02/23,20:19:44,27.80,,,
2026/02/23,20:19:49,27.81,,,
2026/02/23,20:19:54,27.79,,,
2026/02/23,20:19:59,27.79,,,
2026/02/23,20:20:04,27.81,,,
2026/02/23,20:20:09,27.80,,,
2026/02/23,20:20:14,27.78,,,
2026/02/23,20:20:19,27.76,,,
2026/02/23,20:20:24,27.74,,,
2026/02/23,20:20:29,27.72,,,
2026/02/23,20:20:34,27.70,,,
2026/02/23,20:20:39,27.68,,,
2026/02/23,20:20:44,27.66,,,
2026/02/23,20:20:49,27.64,,,
2026/02/23,20:20:54,27.62,,,
2026/02/23,20:20:59,27.60,,,
2026/02/23,20:21:04,27.53,,,
2026/02/23,20:21:09,27.47,,,
2026/02/23,20:21:14,27.46,,,
2026/02/23,20:21:19,27.45,,,
2026/02/23,20:21:24,27.43,,,
2026/02/23,20:21:29,27.42,,,
2026/02/23,20:21:34,27.45,,,
2026/02/23,20:21:39,27.44,,,
2026/02/23,20:21:44,27.39,,,
2026/02/23,20:21:49,27.31,,,
2026/02/23,20:21:54,27.29,,,
2026/02/23,20:21:59,27.27,,,
2026/02/23,20:22:04,27.25,,,
2026/02/23,20:22:09,27.23,,,
2026/02/23,20:22:14,27.24,,,
2026/02/23,20:22:19,27.22,,,
2026/02/23,20:22:24,27.17,,,
2026/02/23,20:22:29,27.16,,,
2026/02/23,20:22:34,27.14,,,
2026/02/23,20:22:39,27.12,,,
2026/02/23,20:22:44,27.12,,,
2026/02/23,20:22:49,27.12,,,
2026/02/23,20:22:54,27.10,,,
2026/02/23,20:22:59,27.11,,,
2026/02/23,20:23:04,27.16,,,
2026/02/23,20:23:09,27.18,,,
2026/02/23,20:23:14,27.25,,,
2026/02/23,20:23:19,27.27,,,
2026/02/23,20:23:24,27.29,,,
2026/02/23,20:23:29,27.27,,,
2026/02/23,20:23:34,27.25,,,
2026/02/23,20:23:39,27.32,,,
2026/02/23,20:23:44,27.42,,,
2026/02/23,20:23:49,27.45,,,
2026/02/23,20:23:54,27.47,,,
2026/02/23,20:23:59,27.54,,,
2026/02/23,20:24:04,27.62,,,
2026/02/23,20:24:09,27.74,,,
2026/02/23,20:24:14,27.88,,,
2026/02/23,20:24:19,28.13,,,
2026/02/23,20:24:24,28.17,,,
2026/02/23,20:24:29,28.23,,,
2026/02/23,20:24:34,28.39,,,
2026/02/23,20:24:39,28.55,,,
2026/02/23,20:24:44,28.64,,,
2026/02/23,20:24:49,29.01,,,
2026/02/23,20:24:54,29.05,,,
2026/02/23,20:24:59,29.07,,,
2026/02/23,20:25:04,29.11,,,
2026/02/23,20:25:09,29.19,,,
2026/02/23,20:25:14,29.33,,,
2026/02/23,20:25:19,29.47,,,
2026/02/23,20:25:24,29.61,,,
2026/02/23,20:25:29,29.74,,,
2026/02/23,20:25:34,29.89,,,
2026/02/23,20:25:39,29.90,,,
2026/02/23,20:25:44,30.06,,,
2026/02/23,20:25:49,30.10,,,
2026/02/23,20:25:54,30.25,,,
2026/02/23,20:25:59,30.39,,,
2026/02/23,20:26:04,30.59,,,
2026/02/23,20:26:09,30.59,,,
2026/02/23,20:26:14,30.65,,,
2026/02/23,20:26:19,30.98,,,
2026/02/23,20:26:24,31.04,,,
2026/02/23,20:26:29,31.05,,,
2026/02/23,20:26:34,30.76,,,
2026/02/23,20:26:39,30.85,,,
2026/02/23,20:26:44,31.07,,,
2026/02/23,20:26:49,31.30,,,
2026/02/23,20:26:54,31.62,,,
2026/02/23,20:26:59,31.69,,,
2026/02/23,20:27:04,31.88,,,
2026/02/23,20:27:09,31.78,,,
2026/02/23,20:27:14,31.73,,,
2026/02/23,20:27:19,31.67,,,
2026/02/23,20:27:24,32.00,,,
2026/02/23,20:27:29,32.03,,,
2026/02/23,20:27:34,32.03,,,
2026/02/23,20:27:39,31.96,,,
2026/02/23,20:27:44,31.95,,,
2026/02/23,20:27:49,32.00,,,
2026/02/23,20:27:54,31.94,,,
2026/02/23,20:27:59,32.08,,,
2026/02/23,20:28:04,32.13,,,
2026/02/23,20:28:09,32.24,,,
2026/02/23,20:28:14,32.23,,,
2026/02/23,20:28:19,32.44,,,
2026/02/23,20:28:24,32.42,,,
2026/02/23,20:28:29,32.57,,,
2026/02/23,20:28:34,32.53,,,
2026/02/23,20:28:39,32.40,,,
2026/02/23,20:28:44,32.50,,,
2026/02/23,20:28:49,32.54,,,
2026/02/23,20:28:54,32.44,,,
2026/02/23,20:28:59,32.46,,,
2026/02/23,20:29:04,32.41,,,
2026/02/23,20:29:09,32.62,,,
2026/02/23,20:29:14,32.65,,,
2026/02/23,20:29:19,32.44,,,
2026/02/23,20:29:24,32.53,,,
2026/02/23,20:29:29,32.83,,,
2026/02/23,20:29:34,32.82,,,
2026/02/23,20:29:39,32.75,,,
2026/02/23,20:29:44,32.54,,,
2026/02/23,20:29:49,32.56,,,
2026/02/23,20:29:54,32.79,,,
2026/02/23,20:29:59,32.84,,,
2026/02/23,20:30:04,32.78,,,
2026/02/23,20:30:09,32.57,,,
2026/02/23,20:30:14,32.41,,,
2026/02/23,20:30:19,32.33,,,
2026/02/23,20:30:24,32.29,,,
2026/02/23,20:30:29,32.48,,,
2026/02/23,20:30:34,32.55,,,
2026/02/23,20:30:39,32.51,,,
2026/02/23,20:30:44,32.64,,,
2026/02/23,20:30:49,32.64,,,
2026/02/23,20:30:54,32.65,,,
2026/02/23,20:30:59,32.89,,,
2026/02/23,20:31:04,32.82,,,
2026/02/23,20:31:09,32.70,,,
2026/02/23,20:31:14,32.65,,,
2026/02/23,20:31:19,32.63,,,
2026/02/23,20:31:24,32.66,,,
2026/02/23,20:31:29,32.70,,,
2026/02/23,20:31:34,32.67,,,
2026/02/23,20:31:39,32.52,,,
2026/02/23,20:31:44,32.43,,,
2026/02/23,20:31:49,32.39,,,
2026/02/23,20:31:54,32.41,,,
2026/02/23,20:31:59,32.41,,,
2026/02/23,20:32:04,32.45,,,
2026/02/23,20:32:09,32.79,,,
2026/02/23,20:32:14,32.77,,,
2026/02/23,20:32:19,32.92,,,
2026/02/23,20:32:24,32.86,,,
2026/02/23,20:32:29,32.78,,,
2026/02/23,20:32:34,32.65,,,
2026/02/23,20:32:39,32.68,,,
2026/02/23,20:32:44,32.42,,,
2026/02/23,20:32:49,32.25,,,
2026/02/23,20:32:54,32.25,,,
2026/02/23,20:32:59,32.20,,,
2026/02/23,20:33:04,32.15,,,
2026/02/23,20:33:09,32.14,,,
2026/02/23,20:33:14,32.14,,,
2026/02/23,20:33:19,32.10,,,
2026/02/23,20:33:24,31.93,,,
2026/02/23,20:33:29,31.98,,,
2026/02/23,20:33:34,32.10,,,
2026/02/23,20:33:39,32.17,,,
2026/02/23,20:33:44,31.99,,,
2026/02/23,20:33:49,32.08,,,
2026/02/23,20:33:54,32.09,,,
2026/02/23,20:33:59,32.10,,,
2026/02/23,20:34:04,32.08,,,
2026/02/23,20:34:09,31.95,,,
2026/02/23,20:34:14,31.93,,,
2026/02/23,20:34:19,31.96,,,
2026/02/23,20:34:24,31.95,,,
2026/02/23,20:34:29,31.91,,,
2026/02/23,20:34:34,31.89,,,
2026/02/23,20:34:39,31.84,,,
2026/02/23,20:34:44,31.64,,,
2026/02/23,20:34:49,31.85,,,
2026/02/23,20:34:54,31.85,,,
2026/02/23,20:34:59,31.93,,,
2026/02/23,20:35:04,32.09,,,
2026/02/23,20:35:09,32.18,,,
2026/02/23,20:35:14,32.26,,,
2026/02/23,20:35:19,32.27,,,
2026/02/23,20:35:24,32.22,,,
2026/02/23,20:35:29,32.13,,,
2026/02/23,20:35:34,32.19,,,
2026/02/23,20:35:39,32.16,,,
2026/02/23,20:35:44,32.11,,,
2026/02/23,20:35:49,31.89,,,
2026/02/23,20:35:54,31.80,,,
2026/02/23,20:35:59,31.76,,,
2026/02/23,20:36:04,31.56,,,
2026/02/23,20:36:09,31.56,,,
2026/02/23,20:36:14,31.44,,,
2026/02/23,20:36:19,31.43,,,
2026/02/23,20:36:24,31.45,,,
2026/02/23,20:36:29,31.41,,,
2026/02/23,20:36:34,31.21,,,
2026/02/23,20:36:39,31.07,,,
2026/02/23,20:36:44,31.11,,,
2026/02/23,20:36:49,31.13,,,
2026/02/23,20:36:54,31.13,,,
2026/02/23,20:36:59,31.11,,,
2026/02/23,20:37:04,31.12,,,
2026/02/23,20:37:09,31.04,,,
2026/02/23,20:37:14,31.02,,,
2026/02/23,20:37:19,31.00,,,
2026/02/23,20:37:24,30.95,,,
2026/02/23,20:37:29,30.85,,,
2026/02/23,20:37:34,30.66,,,
2026/02/23,20:37:39,30.74,,,
2026/02/23,20:37:44,30.74,,,
2026/02/23,20:37:49,30.71,,,
2026/02/23,20:37:54,31.05,,,
2026/02/23,20:37:59,31.25,,,
2026/02/23,20:38:04,31.22,,,
2026/02/23,20:38:09,31.20,,,
2026/02/23,20:38:14,31.28,,,
2026/02/23,20:38:19,31.31,,,
2026/02/23,20:38:24,31.29,,,
2026/02/23,20:38:29,31.13,,,
2026/02/23,20:38:34,30.99,,,
2026/02/23,20:38:39,31.02,,,
2026/02/23,20:38:44,31.04,,,
2026/02/23,20:38:49,31.02,,,
2026/02/23,20:38:54,30.99,,,
2026/02/23,20:38:59,30.83,,,
2026/02/23,20:39:04,30.82,,,
2026/02/23,20:39:09,30.78,,,
2026/02/23,20:39:14,30.59,,,
2026/02/23,20:39:19,30.58,,,
2026/02/23,20:39:24,30.50,,,
2026/02/23,20:39:29,30.46,,,
2026/02/23,20:39:34,30.45,,,
2026/02/23,20:39:39,30.44,,,
2026/02/23,20:39:44,30.45,,,
2026/02/23,20:39:49,30.46,,,
2026/02/23,20:39:54,30.47,,,
2026/02/23,20:39:59,30.43,,,
2026/02/23,20:40:04,30.41,,,
2026/02/23,20:40:09,30.41,,,
2026/02/23,20:40:14,30.39,,,
2026/02/23,20:40:19,30.42,,,
2026/02/23,20:40:24,30.57,,,
2026/02/23,20:40:29,30.46,,,
2026/02/23,20:40:34,30.27,,,
2026/02/23,20:40:39,30.28,,,
2026/02/23,20:40:44,30.42,,,
2026/02/23,20:40:49,30.39,,,
2026/02/23,20:40:54,30.38,,,
2026/02/23,20:40:59,30.30,,,
2026/02/23,20:41:04,30.09,,,
2026/02/23,20:41:09,30.03,,,
2026/02/23,20:41:14,30.04,,,
2026/02/23,20:41:19,30.02,,,
2026/02/23,20:41:24,30.05,,,
2026/02/23,20:41:29,30.07,,,
2026/02/23,20:41:34,29.89,,,
2026/02/23,20:41:39,29.69,,,
2026/02/23,20:41:44,29.64,,,
2026/02/23,20:41:49,29.65,,,
2026/02/23,20:41:54,29.80,,,
2026/02/23,20:41:59,29.84,,,
2026/02/23,20:42:04,29.82,,,
2026/02/23,20:42:09,29.82,,,
2026/02/23,20:42:14,29.93,,,
2026/02/23,20:42:19,29.95,,,
2026/02/23,20:42:24,29.93,,,
2026/02/23,20:42:29,29.78,,,
2026/02/23,20:42:34,29.72,,,
2026/02/23,20:42:39,29.70,,,
2026/02/23,20:42:44,29.68,,,
2026/02/23,20:42:49,29.66,,,
2026/02/23,20:42:54,29.62,,,
2026/02/23,20:42:59,29.63,,,
2026/02/23,20:43:04,29.66,,,
2026/02/23,20:43:09,29.69,,,
2026/02/23,20:43:14,29.69,,,
2026/02/23,20:43:19,29.71,,,
2026/02/23,20:43:24,29.72,,,
2026/02/23,20:43:29,29.69,,,
2026/02/23,20:43:34,29.58,,,
2026/02/23,20:43:39,29.52,,,
2026/02/23,20:43:44,29.51,,,
2026/02/23,20:43:49,29.46,,,
2026/02/23,20:43:54,29.52,,,
2026/02/23,20:43:59,29.53,,,
2026/02/23,20:44:04,29.55,,,
2026/02/23,20:44:09,29.53,,,
2026/02/23,20:44:14,29.51,,,
2026/02/23,20:44:19,29.51,,,
2026/02/23,20:44:24,29.50,,,
2026/02/23,20:44:29,29.48,,,
2026/02/23,20:44:34,29.30,,,
2026/02/23,20:44:39,29.21,,,
2026/02/23,20:44:44,29.16,,,
2026/02/23,20:44:49,29.15,,,
2026/02/23,20:44:54,29.16,,,
2026/02/23,20:44:59,29.14,,,
2026/02/23,20:45:04,29.16,,,
2026/02/23,20:45:09,29.16,,,
2026/02/23,20:45:14,29.13,,,
2026/02/23,20:45:19,29.09,,,
2026/02/23,20:45:24,28.94,,,
2026/02/23,20:45:29,28.89,,,
2026/02/23,20:45:34,28.87,,,
2026/02/23,20:45:39,28.86,,,
2026/02/23,20:45:44,28.88,,,
2026/02/23,20:45:49,28.91,,,
2026/02/23,20:45:54,28.93,,,
2026/02/23,20:45:59,28.93,,,
2026/02/23,20:46:04,29.00,,,
2026/02/23,20:46:09,28.95,,,
2026/02/23,20:46:14,28.88,,,
2026/02/23,20:46:19,28.86,,,
2026/02/23,20:46:24,28.84,,,
2026/02/23,20:46:29,28.81,,,
2026/02/23,20:46:34,28.71,,,
2026/02/23,20:46:39,28.70,,,
2026/02/23,20:46:44,28.53,,,
2026/02/23,20:46:49,28.64,,,
2026/02/23,20:46:54,28.66,,,
2026/02/23,20:46:59,28.68,,,
2026/02/23,20:47:04,28.67,,,
2026/02/23,20:47:09,28.65,,,
2026/02/23,20:47:14,28.63,,,
2026/02/23,20:47:19,28.59,,,
2026/02/23,20:47:24,28.53,,,
2026/02/23,20:47:29,28.54,,,
2026/02/23,20:47:34,28.53,,,
2026/02/23,20:47:39,28.54,,,
2026/02/23,20:47:44,28.52,,,
2026/02/23,20:47:49,28.50,,,
2026/02/23,20:47:54,28.38,,,
2026/02/23,20:47:59,28.35,,,
2026/02/23,20:48:04,28.33,,,
2026/02/23,20:48:09,28.35,,,
2026/02/23,20:48:14,28.36,,,
2026/02/23,20:48:19,28.38,,,
2026/02/23,20:48:24,28.38,,,
2026/02/23,20:48:29,28.38,,,
2026/02/23,20:48:34,28.36,,,
2026/02/23,20:48:39,28.28,,,
2026/02/23,20:48:44,28.23,,,
2026/02/23,20:48:49,28.25,,,
2026/02/23,20:48:54,28.28,,,
2026/02/23,20:48:59,28.27,,,
2026/02/23,20:49:04,28.29,,,
2026/02/23,20:49:09,28.31,,,
2026/02/23,20:49:14,28.34,,,
2026/02/23,20:49:19,28.36,,,
2026/02/23,20:49:24,28.29,,,
2026/02/23,20:49:29,28.35,,,
2026/02/23,20:49:34,28.32,,,
2026/02/23,20:49:39,28.27,,,
2026/02/23,20:49:44,28.24,,,
2026/02/23,20:49:49,28.22,,,
2026/02/23,20:49:54,28.18,,,
2026/02/23,20:49:59,28.14,,,
2026/02/23,20:50:04,28.11,,,
2026/02/23,20:50:09,28.09,,,
2026/02/23,20:50:14,28.06,,,
2026/02/23,20:50:19,28.04,,,
2026/02/23,20:50:24,28.02,,,
2026/02/23,20:50:29,28.00,,,
2026/02/23,20:50:34,27.97,,,
2026/02/23,20:50:39,27.94,,,
2026/02/23,20:50:44,27.84,,,
2026/02/23,20:50:49,27.85,,,
2026/02/23,20:50:54,27.87,,,
2026/02/23,20:50:59,27.90,,,
2026/02/23,20:51:04,27.89,,,
2026/02/23,20:51:09,27.85,,,
2026/02/23,20:51:14,27.80,,,
2026/02/23,20:51:19,27.73,,,
2026/02/23,20:51:24,27.73,,,
2026/02/23,20:51:29,27.76,,,
2026/02/23,20:51:34,27.72,,,
2026/02/23,20:51:39,27.70,,,
2026/02/23,20:51:44,27.64,,,
2026/02/23,20:51:49,27.63,,,
2026/02/23,20:51:54,27.63,,,
2026/02/23,20:51:59,27.61,,,
2026/02/23,20:52:04,27.59,,,
2026/02/23,20:52:09,27.57,,,
2026/02/23,20:52:14,27.58,,,
2026/02/23,20:52:19,27.50,,,
2026/02/23,20:52:24,27.46,,,
2026/02/23,20:52:29,27.44,,,
2026/02/23,20:52:34,27.46,,,
2026/02/23,20:52:39,27.44,,,
2026/02/23,20:52:44,27.42,,,
2026/02/23,20:52:49,27.42,,,
2026/02/23,20:52:54,27.40,,,
2026/02/23,20:52:59,27.41,,,
2026/02/23,20:53:04,27.40,,,
2026/02/23,20:53:09,27.42,,,
2026/02/23,20:53:14,27.43,,,
2026/02/23,20:53:19,27.41,,,
2026/02/23,20:53:24,27.39,,,
2026/02/23,20:53:29,27.37,,,
2026/02/23,20:53:34,27.24,,,
2026/02/23,20:53:39,27.21,,,
2026/02/23,20:53:44,27.19,,,
2026/02/23,20:53:49,27.17,,,
2026/02/23,20:53:54,27.15,,,
2026/02/23,20:53:59,27.14,,,
2026/02/23,20:54:04,27.16,,,
2026/02/23,20:54:09,27.18,,,
2026/02/23,20:54:14,27.17,,,
2026/02/23,20:54:19,27.19,,,
2026/02/23,20:54:24,27.21,,,
